date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunrise,sunset,daylight_duration,sunshine_duration,rain_sum,precipitation_sum,snowfall_sum,precipitation_hours,cloud_cover_mean,cloud_cover_max,cloud_cover_min,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,et0_fao_evapotranspiration_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,snowfall_water_equivalent_sum,pressure_msl_mean,pressure_msl_max,pressure_msl_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min,winddirection_10m_dominant,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,vapour_pressure_deficit_max,soil_moisture_0_to_100cm_mean,soil_moisture_0_to_7cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_7_to_28cm_mean,soil_temperature_0_to_100cm_mean,soil_temperature_0_to_7cm_mean,soil_temperature_7_to_28cm_mean,soil_temperature_28_to_100cm_mean
2010-01-20 14:00:00+00:00,0.0,24.076752,28.8205,20.2205,27.146093,34.016678,22.35672,16.454008,39.239998,116.392395,31.04,6.0525603,1264014339,1264064826,50487.934,47354.742,0.0,0.0,0.0,0.0,5.875,18.0,0.0,19.241333,21.170502,18.120499,6.0525603,75.78643,92.0886,53.20287,0.0,1010.31244,1013.6,1006.9,1004.4102,1007.6481,1001.08075,116.392395,21.9,7.778336,8.28,0.8049845,20.732534,22.06764,18.87781,1.8517485,0.092603326,0.08108333,0.0895,0.10708333,23.726667,27.124666,25.258001,22.949667
2010-01-21 14:00:00+00:00,2.0,26.903833,32.4205,20.670502,29.347658,35.893745,23.767689,14.182355,34.56,359.0383,29.87,6.920141,1264100799,1264151201,50402.99,47222.85,0.0,0.0,0.0,0.0,18.75,62.0,0.0,18.758001,21.120499,13.4705,6.920141,64.96177,97.57084,41.524628,0.0,1010.6707,1014.1,1006.7,1004.8211,1008.1471,1000.97107,359.0383,21.72,9.8698435,9.0,3.2599385,21.514587,23.052101,18.872414,2.795776,0.090822905,0.072416656,0.088999994,0.10320834,24.222023,29.016336,26.393417,23.12258
2010-01-22 14:00:00+00:00,3.0,28.178833,37.3205,21.2205,27.267279,37.45983,20.29896,35.554443,73.439995,254.17375,27.92,8.466165,1264187258,1264237574,50316.477,47195.027,0.0,0.0,0.0,0.0,32.625,100.0,0.0,14.56425,19.620499,12.0205,8.466165,47.31827,75.78923,21.96896,0.0,1008.9707,1015.7,1005.0,1003.1548,1009.7095,999.37885,254.17375,41.309998,19.933334,20.880001,13.70839,19.579233,22.078135,17.794106,4.9807234,0.089007914,0.065541685,0.088375024,0.099000014,24.861712,30.253836,28.041338,23.410082
2010-01-23 14:00:00+00:00,51.0,22.053833,24.0205,20.5205,22.421478,24.461227,20.81403,16.700275,34.56,131.3321,13.75,3.425164,1264273717,1264323945,50228.504,14580.893,0.2,0.2,0.0,2.0,99.916664,100.0,98.0,15.849666,16.8205,14.8205,3.425164,68.21369,79.09696,58.069115,0.0,1014.85425,1016.5,1013.2,1008.8853,1010.5201,1007.27234,131.3321,25.26,11.232597,15.84,6.12,17.928719,18.451447,17.125607,1.2489319,0.08826832,0.067208335,0.08800003,0.09620833,24.422335,25.328833,26.662165,23.680916
2010-01-24 14:00:00+00:00,3.0,23.180914,25.8205,20.5205,25.459993,28.339912,23.024845,15.84409,39.239998,77.94924,19.65,3.8201299,1264360176,1264410315,50139.176,40539.645,0.0,0.0,0.0,0.0,62.125,100.0,8.0,18.693417,21.170502,16.920502,3.8201299,76.348724,92.649864,64.294304,0.0,1012.52515,1014.9,1009.9,1006.5923,1008.9465,1004.0133,77.94924,19.679998,7.3830547,4.32,0.5091169,20.06251,21.497114,18.409771,1.1835921,0.08752582,0.065458335,0.087625004,0.09454168,24.316504,26.08925,25.597582,23.770506
2010-01-25 14:00:00+00:00,3.0,24.6205,29.0205,21.620499,28.617159,35.135403,25.702986,16.981165,38.519997,110.955864,25.59,5.025518,1264446635,1264496683,50048.6,42696.266,0.0,0.0,0.0,0.0,54.083332,100.0,2.0,21.405914,21.870499,20.9705,5.025518,83.34713,97.58529,61.87321,0.0,1009.52094,1012.3,1005.7,1003.6341,1006.3668,999.8896,110.955864,19.664999,7.2424426,3.96,1.4399999,22.325432,23.477072,21.219212,1.5279236,0.086556666,0.06379167,0.087000005,0.092625,24.60906,28.189249,26.162165,23.807999
2010-01-26 14:00:00+00:00,51.0,23.087166,24.920502,21.7705,25.01267,26.247284,23.585266,17.414474,35.64,145.06688,16.59,3.2878094,1264533094,1264583049,49956.055,36479.453,1.3,1.3,0.0,8.0,89.375,100.0,57.0,19.816332,21.4705,18.8205,3.2878094,82.18746,90.44817,69.55703,0.0,1013.2624,1015.1,1011.6,1007.324,1009.14716,1005.6769,145.06688,29.160004,13.032208,16.56,7.072878,20.760359,21.90221,20.224625,0.9594555,0.08649541,0.06879167,0.087000005,0.09066666,24.500168,25.53717,26.120499,23.926752
2010-01-27 14:00:00+00:00,53.0,23.426748,25.5705,21.620499,26.415648,28.45446,24.764505,17.31746,37.44,66.45138,15.96,3.1940126,1264619553,1264669413,49861.074,30382.777,2.0,2.0,0.0,7.0,93.083336,100.0,65.0,20.166332,20.9705,19.5205,3.1940126,82.36502,92.63115,70.09565,0.0,1010.04565,1012.3,1007.7,1004.1326,1006.39233,1001.7938,66.45138,18.405,6.875555,5.7599998,0.5091169,21.10016,21.67305,20.481577,0.9737377,0.08690084,0.07783333,0.087000005,0.08958334,24.388916,25.587173,25.445501,23.964249
2010-01-28 14:00:00+00:00,61.0,23.089249,26.7705,19.370499,25.377815,30.552422,22.147198,23.34455,48.6,163.65398,26.0,4.8661447,1264706012,1264755775,49763.816,40474.766,1.8000001,1.8000001,0.0,3.0,54.041668,97.0,2.0,19.832998,20.5205,18.9705,4.8661447,82.76504,97.5387,65.30327,0.0,1010.1584,1016.8,1006.3,1004.2376,1010.8081,1000.33765,163.65398,28.74,13.022819,8.64,3.8773184,20.783083,22.016392,19.073832,1.2162831,0.08636209,0.078958325,0.086458325,0.08850002,24.369919,25.987167,25.278833,23.947586
2010-01-29 14:00:00+00:00,53.0,22.866333,25.2705,21.0705,24.175833,27.55437,21.55897,19.443333,43.56,154.15004,19.01,3.863898,1264792472,1264842135,49664.418,38183.42,2.4000003,2.4000003,0.0,10.0,62.916668,100.0,16.0,18.943417,20.0205,17.4705,3.863898,78.77153,87.01922,70.49494,0.0,1017.4792,1019.0,1016.2,1011.5112,1013.0174,1010.27655,154.15004,34.47,14.849006,17.64,6.638072,20.099394,21.260044,18.646286,0.94940853,0.08727751,0.099625014,0.085999995,0.08754167,24.22625,24.751753,25.035082,23.939255
